time,"INDEX_BTCUSD, 480_8318d","CRYPTO_SOLUSD, 480_d942c","INDEX_ETHUSD, 480_ca04d","CRYPTO_AAVEUSD, 480_a7ede","CRYPTO_AVAXUSD, 480_978b1"
2020-12-20 08:00:00+00:00,23891.335,1.64706863,654.625,87.89622147,3.36509453
2020-12-20 16:00:00+00:00,23478.995,1.55994443,638.365,85.67485275,3.31687762
2020-12-21 00:00:00+00:00,23972.075,1.59845796,646.525,85.74811228,3.27482517
2020-12-21 08:00:00+00:00,23117.6525,1.54795801,615.0225,81.58219567,3.17266663
2020-12-21 16:00:00+00:00,22729.9375,1.53790757,607.9075,80.87311763,3.0905896
2020-12-22 00:00:00+00:00,22655.035,1.51109083,595.5375,78.04659558,2.99114427
2020-12-22 08:00:00+00:00,23353.51,1.55277488,626.64,82.69477891,3.110454
2020-12-22 16:00:00+00:00,23834.1425,1.49297069,637.1325,84.42053274,3.09033492
2020-12-23 00:00:00+00:00,23552.9875,1.39504345,616.19,80.43345231,2.99146494
2020-12-23 08:00:00+00:00,23453.1325,1.29531651,605.605,76.26958689,3.09112286
2020-12-23 16:00:00+00:00,23234.965,1.19892419,585.395,75.79245583,2.94294067
2020-12-24 00:00:00+00:00,23167.105,1.27303242,580.4025,74.50540968,2.94755077
2020-12-24 08:00:00+00:00,23237.205,1.31615529,592.9325,79.72685036,3.05546009
2020-12-24 16:00:00+00:00,23725.2675,1.36016959,612.37,80.6659095,3.10753554
2020-12-25 00:00:00+00:00,23642.6875,1.41997981,612.51,78.21001025,3.07780506
2020-12-25 08:00:00+00:00,24020.085,1.38091469,613.3525,77.10447285,2.91723932
2020-12-25 16:00:00+00:00,24705.6075,1.44898388,626.7975,79.7002898,2.96368468
2020-12-26 00:00:00+00:00,24785.995,1.37661416,624.965,77.35709039,2.88013262
2020-12-26 08:00:00+00:00,25613.8075,1.36034932,628.5425,74.38249698,2.8933357
2020-12-26 16:00:00+00:00,26458.9725,1.32559452,636.415,75.01118704,2.91736631
2020-12-27 00:00:00+00:00,27605.955,1.30327714,649.53,76.35807153,2.94500328
2020-12-27 08:00:00+00:00,27344.9425,1.4014283,697.0825,80.77696015,3.03583552
2020-12-27 16:00:00+00:00,26259.1225,1.30245248,683.6525,76.59786033,2.90452154
2020-12-28 00:00:00+00:00,26980.145,1.35386368,733.0,83.01790617,2.92842494
2020-12-28 08:00:00+00:00,26881.4225,1.39245769,728.64,82.74101846,2.97953687
2020-12-28 16:00:00+00:00,27037.975,1.51656002,729.5075,81.73579843,2.95227649
2020-12-29 00:00:00+00:00,26370.87,1.54480556,708.385,77.29301997,2.92373836
2020-12-29 08:00:00+00:00,26584.48,1.55519208,718.28,76.6962248,2.8732506
2020-12-29 16:00:00+00:00,27370.3625,1.66931841,731.6975,78.14238494,2.91658583
2020-12-30 00:00:00+00:00,28363.9625,1.57817087,733.07,83.21986597,2.85369827
2020-12-30 08:00:00+00:00,28152.3325,1.5799089,734.1625,82.57079122,2.90137939
2020-12-30 16:00:00+00:00,28889.2925,1.53373254,752.595,81.03446546,2.92821869
2020-12-31 00:00:00+00:00,29175.3525,1.52470392,750.055,81.31170742,2.88952691
2020-12-31 08:00:00+00:00,28815.4325,1.46094243,736.53,85.98525058,2.83543856
2020-12-31 16:00:00+00:00,28980.4525,1.5116204,737.4375,88.56426284,3.19103762
2021-01-01 00:00:00+00:00,29165.0225,1.62390845,738.1825,86.88260203,3.16965465
2021-01-01 08:00:00+00:00,29257.215,1.64922921,737.38,87.33278677,3.66475875
2021-01-01 16:00:00+00:00,29404.035,1.8480436,731.06,91.00548832,3.65874408
2021-01-02 00:00:00+00:00,29837.945,1.74999547,737.31,86.79858201,3.6691721
2021-01-02 08:00:00+00:00,31784.4,1.78310484,770.7825,86.2310772,3.55826358
2021-01-02 16:00:00+00:00,32223.72,1.80452832,775.205,85.81176636,3.49949599
2021-01-03 00:00:00+00:00,34492.0775,2.07814767,800.6325,82.67750977,3.51060365
2021-01-03 08:00:00+00:00,33566.6975,2.07945691,918.8925,91.40211729,3.7413441
2021-01-03 16:00:00+00:00,33096.3175,2.19097622,979.4725,93.96044538,3.48934475
2021-01-04 00:00:00+00:00,32128.07,2.1223803,1046.13,100.5608591,3.57553291
2021-01-04 08:00:00+00:00,31785.04,2.28184802,1041.2675,105.78061312,3.454716
2021-01-04 16:00:00+00:00,32028.2225,2.49820136,1042.6925,114.11655677,3.61342406
2021-01-05 00:00:00+00:00,30841.9625,2.18546146,1003.2325,106.40477063,3.62177166
2021-01-05 08:00:00+00:00,32153.0525,2.20023338,1054.4075,117.19787636,4.20401161
2021-01-05 16:00:00+00:00,34052.6475,2.1633647,1103.39,119.8653192,4.27905568
2021-01-06 00:00:00+00:00,34788.44,2.02016471,1110.0175,116.29775492,4.49710164
2021-01-06 08:00:00+00:00,34669.7975,2.08642841,1147.11,114.61835054,4.73970802
2021-01-06 16:00:00+00:00,36873.235,1.94432568,1212.275,115.56071849,4.5888741
2021-01-07 00:00:00+00:00,36917.905,2.1305323,1187.89,117.4358558,4.4829412
2021-01-07 08:00:00+00:00,39009.6625,2.38973192,1251.615,127.21050941,4.78180443
2021-01-07 16:00:00+00:00,39501.2625,2.36968074,1226.64,115.14618019,4.47904815
2021-01-08 00:00:00+00:00,38972.59,2.42253619,1209.0125,116.68393446,4.67437244
2021-01-08 08:00:00+00:00,40907.65,3.31801949,1218.73,110.08248615,5.33844833
2021-01-08 16:00:00+00:00,40658.6275,3.23032795,1218.1675,110.79475994,5.69790006
2021-01-09 00:00:00+00:00,39670.055,3.08633028,1197.365,110.67945345,6.54000527
2021-01-09 08:00:00+00:00,40632.285,3.11121406,1222.725,116.45212881,7.04157499
2021-01-09 16:00:00+00:00,40252.745,3.39370893,1280.7275,118.06130108,7.22617278
2021-01-10 00:00:00+00:00,41057.1925,3.74154195,1347.825,131.34195881,7.24495219
2021-01-10 08:00:00+00:00,39725.2675,3.42114004,1305.4325,125.37294423,6.84466359
2021-01-10 16:00:00+00:00,38173.345,3.44819825,1255.285,126.92637213,6.54062093
2021-01-11 00:00:00+00:00,34018.8225,2.96371982,1061.295,109.64266492,6.02337271
2021-01-11 08:00:00+00:00,31505.4775,2.75483895,973.62,101.03806634,6.01029994
2021-01-11 16:00:00+00:00,35458.7275,3.10405701,1088.53,114.42531364,6.47299071
2021-01-12 00:00:00+00:00,36454.8725,3.38884495,1140.3325,126.82650143,7.91799831
2021-01-12 08:00:00+00:00,33825.785,3.30613223,1053.3175,116.52982933,7.93113181
2021-01-12 16:00:00+00:00,34034.27,3.62873387,1049.43,127.35623834,7.72918272
2021-01-13 00:00:00+00:00,34954.145,3.48737505,1075.4275,138.59318493,7.62734398
2021-01-13 08:00:00+00:00,34653.305,3.5408747,1069.7325,137.8855006,7.7862511
2021-01-13 16:00:00+00:00,37399.4125,3.53349649,1130.6825,147.24148701,8.47844681
2021-01-14 00:00:00+00:00,38244.88,3.40494167,1149.0875,144.45091176,8.39704585
2021-01-14 08:00:00+00:00,39516.0275,3.4845233,1211.4025,148.65929546,9.47396759
2021-01-14 16:00:00+00:00,39139.71,3.28225608,1231.6475,147.28272873,9.31799076
2021-01-15 00:00:00+00:00,38429.4775,3.37410812,1238.6475,156.71540924,9.26457844
2021-01-15 08:00:00+00:00,35562.7425,3.08293415,1138.64,146.44737362,9.18230011
2021-01-15 16:00:00+00:00,36760.6625,3.24412847,1169.2125,166.12143384,9.3831591
2021-01-16 00:00:00+00:00,36600.9775,3.46538055,1183.2525,189.5198615,9.8515191
2021-01-16 08:00:00+00:00,37479.185,3.40423437,1276.9675,198.22740947,12.75491624
2021-01-16 16:00:00+00:00,36010.045,3.42851638,1228.1675,181.38259667,12.83506034
2021-01-17 00:00:00+00:00,34768.32,3.39582181,1182.3175,177.73565184,12.99570265
2021-01-17 08:00:00+00:00,35742.195,3.54919996,1240.9675,191.43519642,13.11988752
2021-01-17 16:00:00+00:00,35822.635,3.81833466,1233.205,186.63592835,13.16768417
2021-01-18 00:00:00+00:00,36090.0875,4.01105232,1219.865,195.39173373,13.78605252
2021-01-18 08:00:00+00:00,36428.9775,3.96274417,1241.205,187.42708924,13.28710525
2021-01-18 16:00:00+00:00,36625.1225,3.78996768,1258.3075,200.08304422,12.70562125
2021-01-19 00:00:00+00:00,37220.7,3.82070486,1376.2425,208.808127,12.74808975
2021-01-19 08:00:00+00:00,37347.1025,3.8333066,1415.6225,201.56231219,12.82051335
2021-01-19 16:00:00+00:00,35915.7275,3.63646741,1368.435,186.22304709,11.76240076
2021-01-20 00:00:00+00:00,35707.23,3.61142924,1370.0025,193.56889383,12.04047796
2021-01-20 08:00:00+00:00,34204.5875,3.52033615,1274.45,176.63248985,11.85052139
2021-01-20 16:00:00+00:00,35502.5025,3.72066226,1377.765,196.89687887,12.38540302
2021-01-21 00:00:00+00:00,34623.545,3.55168325,1307.8725,182.15447025,12.55415118
2021-01-21 08:00:00+00:00,31355.09,3.29886902,1186.8775,167.46753569,11.83529227
2021-01-21 16:00:00+00:00,30839.85,2.98683947,1110.665,160.2438606,11.33271968
2021-01-22 00:00:00+00:00,30792.1975,3.08845741,1142.2175,176.1621619,11.63513975
2021-01-22 08:00:00+00:00,32508.975,3.4001137,1234.5925,192.55065893,12.54748908
2021-01-22 16:00:00+00:00,33001.7675,3.33383855,1234.475,189.82616666,12.73439203
2021-01-23 00:00:00+00:00,32971.0475,3.56120284,1260.84,202.83788422,13.2326002
2021-01-23 08:00:00+00:00,31903.21,3.47649279,1231.84,203.98912474,13.05862192
2021-01-23 16:00:00+00:00,32111.9675,3.50534237,1234.3775,213.83359158,12.89616615
2021-01-24 00:00:00+00:00,32798.7575,3.7246269,1315.51,234.3799211,12.9689567
2021-01-24 08:00:00+00:00,31986.4875,3.59720038,1320.8125,246.61581863,12.69543689
2021-01-24 16:00:00+00:00,32291.01,3.63629064,1393.0775,264.59253594,12.49468341
2021-01-25 00:00:00+00:00,33370.5875,3.51725992,1424.88,264.49527652,12.77492831
2021-01-25 08:00:00+00:00,34442.6375,3.70912763,1434.9225,255.90879662,12.79543983
2021-01-25 16:00:00+00:00,32271.49,3.70186262,1318.22,247.74822873,12.20088222
2021-01-26 00:00:00+00:00,31666.1725,3.7445249,1318.9325,258.7442955,12.03061226
2021-01-26 08:00:00+00:00,31760.675,3.79127177,1281.1775,256.97562143,11.90802988
2021-01-26 16:00:00+00:00,32513.14,4.04691054,1367.9925,277.30457106,12.21453644
2021-01-27 00:00:00+00:00,31802.1175,3.78508802,1295.8175,270.25439452,11.90353258
2021-01-27 08:00:00+00:00,30390.135,3.72856566,1282.875,275.82086526,11.41757372
2021-01-27 16:00:00+00:00,30427.465,3.68689593,1240.565,286.74843016,11.17965919
2021-01-28 00:00:00+00:00,31197.3325,3.76427014,1286.275,281.36874182,11.42352724
