time,open,high,low,close,Volume
2015-08-07T10:00:00+02:00,3,3,3,3,81.85727776
2015-08-07T18:00:00+02:00,3.00001,3.00001,3,3,42.07329055
2015-08-08T02:00:00+02:00,3,3,3,3,0.4
2015-08-08T10:00:00+02:00,2,2,2,2,125
2015-08-08T18:00:00+02:00,1.2,1.2,0.15,1.19999,1817.48814729
2015-08-11T02:00:00+02:00,0.79969,0.79969,0.65038,0.68,1014.79166
2015-08-11T10:00:00+02:00,0.7,0.79881,0.7,0.79879,6168.92390213
2015-08-11T18:00:00+02:00,0.8,1.15,0.8,0.99,2050.85314278
2015-08-12T02:00:00+02:00,1,1,0.91938,0.91938,346.27826262
2015-08-12T10:00:00+02:00,0.90591,1.20685,0.905,1.20685,707.8240404
2015-08-12T18:00:00+02:00,1.2,1.288,1.2,1.288,682.01268004
2015-08-13T10:00:00+02:00,1.2628,1.45911,1.2628,1.45911,731.14937036
2015-08-13T18:00:00+02:00,1.4804,1.8848,1.4804,1.8848,2084.30139198
2015-08-14T02:00:00+02:00,1.88345,1.9848,1.88345,1.9848,791.01401198
2015-08-14T10:00:00+02:00,1.9848,2.1,1.9848,2.00175,212.09512714
2015-08-14T18:00:00+02:00,1.92442,2.03,1.79489,1.79489,4772.69995964
2015-08-15T02:00:00+02:00,1.7,1.78,1.61999,1.681,2054.96777031
2015-08-15T10:00:00+02:00,1.7,1.75,1.5,1.68321,3587.55256167
2015-08-15T18:00:00+02:00,1.694,1.79,1.694,1.79,3035.08930477
2015-08-16T02:00:00+02:00,1.65,1.65,0.5,0.5,8152.0596042
2015-08-16T10:00:00+02:00,1.2497,1.49486,1.124,1.30143,1051.51375428
2015-08-16T18:00:00+02:00,1.326,1.5893,1.326,1.5893,663.5776138
2015-08-17T02:00:00+02:00,1.50539,1.58,1.46,1.46,187.1983741
2015-08-17T10:00:00+02:00,1.46,1.46,1.25,1.29638,3759.38521264
2015-08-18T02:00:00+02:00,1.15,1.15,1.15,1.15,100
2015-08-18T10:00:00+02:00,1.241,1.241,1.19,1.19,2281.04430463
2015-08-18T18:00:00+02:00,1.36163,1.36163,0.98998,1.10001,1769.59391691
2015-08-19T02:00:00+02:00,1.10001,1.201,1.10001,1.201,155.03363104
2015-08-19T10:00:00+02:00,1.201,1.24,1.201,1.24,1154.93286893
2015-08-19T18:00:00+02:00,1.24,1.24,1.24,1.24,903.67550115
