time,open,high,low,close,Volume
2024-07-11T02:00:00+02:00,57760.86,58423.51,57074.06,57590.15,18.93502
2024-07-11T06:00:00+02:00,57611.86,58338.48,57540.94,58237.4,21.50523
2024-07-11T10:00:00+02:00,58264.1,58937.3,58114.57,58826.62,40.21219
2024-07-11T14:00:00+02:00,58822.5,59683.78,57337.67,57475.09,63.14811
2024-07-11T18:00:00+02:00,57474.04,58033.37,57260.73,57431.53,48.14059
2024-07-11T22:00:00+02:00,57420.23,57708.68,57214.64,57386.08,13.48975
2024-07-12T02:00:00+02:00,57392.69,57633.42,56616.1,56965.57,17.74449
2024-07-12T06:00:00+02:00,56976.69,57467.38,56772.57,57168.07,16.90971
2024-07-12T10:00:00+02:00,57166.08,57387.3,56838.07,57213.22,34.81017
2024-07-12T14:00:00+02:00,57274.64,58328.38,57038.48,58245.51,43.76338
2024-07-12T18:00:00+02:00,58276.66,58611.06,57578.64,57661.43,31.09756
2024-07-12T22:00:00+02:00,57707.63,57984.01,57205.86,57952.7,12.35826
2024-07-13T02:00:00+02:00,57991.27,58072.83,57847.35,57884.05,1.02429
2024-07-13T06:00:00+02:00,57908.49,58308.23,57856.37,58248.45,7.24478
2024-07-13T10:00:00+02:00,58247.98,58889.16,57998.52,58611.32,18.22189
2024-07-13T14:00:00+02:00,58612,58972.06,58524.95,58898.77,19.57495
2024-07-13T18:00:00+02:00,58905.68,59033.29,57580.51,58534.85,60.45769
2024-07-13T22:00:00+02:00,58530.1,59559.84,58022.67,58944.47,49.47492
2024-07-14T02:00:00+02:00,58947.24,59580.38,58442.34,59144.58,13.85584
2024-07-14T06:00:00+02:00,59128.47,60073.77,59089.67,59823.27,28.09254
2024-07-14T10:00:00+02:00,59841.68,60295.32,59776.87,59982.39,28.11595
2024-07-14T14:00:00+02:00,59978.15,60165.09,59395.73,60073.41,29.0201
2024-07-14T18:00:00+02:00,60075.81,60130.84,59886.06,59972.33,11.75903
2024-07-14T22:00:00+02:00,59972.62,61451.98,59935.27,60750.08,38.23807
2024-07-15T02:00:00+02:00,60793.81,62819.31,60645.01,62641.66,44.18569
2024-07-15T06:00:00+02:00,62696.54,63163.7,62471.78,62942.34,25.94562
2024-07-15T10:00:00+02:00,62941.39,63324.11,62360,62532.83,48.49389
