time,open,high,low,close,Volume
2024-07-11T02:00:00+02:00,0.1085,0.109,0.1067,0.1075,808927
2024-07-11T06:00:00+02:00,0.1077,0.1094,0.1072,0.1089,346620
2024-07-11T10:00:00+02:00,0.1096,0.1104,0.1082,0.11,624338
2024-07-11T14:00:00+02:00,0.1099,0.1122,0.1067,0.1074,3575509
2024-07-11T18:00:00+02:00,0.1069,0.1088,0.1065,0.1074,411382
2024-07-11T22:00:00+02:00,0.1074,0.1077,0.106,0.1067,1951096
2024-07-12T02:00:00+02:00,0.1068,0.1078,0.1053,0.1059,1708562
2024-07-12T06:00:00+02:00,0.1065,0.1072,0.1054,0.1063,688019
2024-07-12T10:00:00+02:00,0.1062,0.1067,0.1048,0.1058,2843164
2024-07-12T14:00:00+02:00,0.1059,0.1077,0.1053,0.1068,855504
2024-07-12T18:00:00+02:00,0.1077,0.1087,0.1068,0.1072,1442686
2024-07-12T22:00:00+02:00,0.1072,0.1081,0.106,0.1078,4234867
2024-07-13T02:00:00+02:00,0.1078,0.1084,0.107,0.1077,4892206
2024-07-13T06:00:00+02:00,0.1082,0.1095,0.1076,0.1094,1259720
2024-07-13T10:00:00+02:00,0.1094,0.1105,0.1085,0.1096,1033124
2024-07-13T14:00:00+02:00,0.1101,0.1112,0.1089,0.1107,993518
2024-07-13T18:00:00+02:00,0.1113,0.1128,0.1097,0.1121,8618058
2024-07-13T22:00:00+02:00,0.1126,0.1132,0.111,0.1126,2371890
2024-07-14T02:00:00+02:00,0.1127,0.1148,0.1116,0.113,2547743
2024-07-14T06:00:00+02:00,0.1125,0.1146,0.1125,0.1137,1496102
2024-07-14T10:00:00+02:00,0.1137,0.1146,0.1123,0.1125,1397718
2024-07-14T14:00:00+02:00,0.1131,0.1131,0.1108,0.113,655447
2024-07-14T18:00:00+02:00,0.113,0.1131,0.1121,0.1127,272138
2024-07-14T22:00:00+02:00,0.1127,0.1175,0.1121,0.1161,3340203
2024-07-15T02:00:00+02:00,0.1156,0.1193,0.1142,0.1179,5332135
2024-07-15T06:00:00+02:00,0.1179,0.1193,0.1169,0.1183,1501760
2024-07-15T10:00:00+02:00,0.1189,0.1199,0.1168,0.1169,906050
2024-07-15T14:00:00+02:00,0.1175,0.1197,0.117,0.1191,7254526
2024-07-15T18:00:00+02:00,0.1186,0.1226,0.1186,0.1212,11438857
2024-07-15T22:00:00+02:00,0.1218,0.1259,0.121,0.1251,5027196
2024-07-16T02:00:00+02:00,0.1251,0.128,0.1239,0.1257,4989428
2024-07-16T06:00:00+02:00,0.1263,0.1272,0.1206,0.1209,7189119
2024-07-16T10:00:00+02:00,0.1217,0.1228,0.1187,0.1225,4818019
2024-07-16T14:00:00+02:00,0.1225,0.1261,0.1207,0.1261,3166703
2024-07-16T18:00:00+02:00,0.126,0.1273,0.1244,0.1259,6824443
2024-07-16T22:00:00+02:00,0.1258,0.1266,0.1235,0.1252,3228459
2024-07-17T02:00:00+02:00,0.125,0.1274,0.1244,0.1256,5380574
2024-07-17T06:00:00+02:00,0.1256,0.1268,0.125,0.1254,872998
2024-07-17T10:00:00+02:00,0.1254,0.1264,0.1236,0.1237,696241
2024-07-17T14:00:00+02:00,0.1243,0.1266,0.1224,0.1231,3475392
2024-07-17T18:00:00+02:00,0.1223,0.1237,0.1204,0.1228,2997700
2024-07-17T22:00:00+02:00,0.1234,0.1241,0.1213,0.1218,1025023
2024-07-18T02:00:00+02:00,0.1219,0.1241,0.1219,0.1233,1258695
2024-07-18T06:00:00+02:00,0.1233,0.1239,0.121,0.1217,6180752
2024-07-18T10:00:00+02:00,0.1217,0.1226,0.1197,0.1216,2757408
2024-07-18T14:00:00+02:00,0.1224,0.1231,0.1176,0.1176,5364990
2024-07-18T18:00:00+02:00,0.1182,0.1202,0.1172,0.1178,3948560
2024-07-18T22:00:00+02:00,0.1182,0.1204,0.1174,0.119,1803577
2024-07-19T02:00:00+02:00,0.1197,0.1215,0.1174,0.1209,1001044
2024-07-19T06:00:00+02:00,0.121,0.1214,0.1186,0.1192,753683
2024-07-19T10:00:00+02:00,0.1192,0.1199,0.1179,0.1191,3707269
2024-07-19T14:00:00+02:00,0.12,0.1238,0.1187,0.1231,3471268
2024-07-19T18:00:00+02:00,0.1239,0.1263,0.1231,0.1252,5014174
2024-07-19T22:00:00+02:00,0.1254,0.1265,0.1245,0.1255,1722829
2024-07-20T02:00:00+02:00,0.1255,0.1264,0.1243,0.1261,599374
2024-07-20T06:00:00+02:00,0.1252,0.13,0.1251,0.1273,8433255
2024-07-20T10:00:00+02:00,0.1273,0.1281,0.1258,0.1258,1936612
2024-07-20T14:00:00+02:00,0.1265,0.1349,0.1255,0.1344,13344128
2024-07-20T18:00:00+02:00,0.1345,0.1363,0.1323,0.1339,20497152
2024-07-20T22:00:00+02:00,0.1339,0.1356,0.1332,0.1337,2563917
2024-07-21T02:00:00+02:00,0.1344,0.1353,0.1318,0.1318,2100020
2024-07-21T06:00:00+02:00,0.1324,0.1331,0.1295,0.1315,3380669
2024-07-21T10:00:00+02:00,0.1315,0.1327,0.1303,0.1311,922055
2024-07-21T14:00:00+02:00,0.1318,0.133,0.1308,0.1317,3404856
2024-07-21T18:00:00+02:00,0.1317,0.1343,0.1259,0.1343,13589448
2024-07-21T22:00:00+02:00,0.1336,0.1438,0.1327,0.1405,38350573
2024-07-22T02:00:00+02:00,0.1406,0.1419,0.1377,0.1413,10268913
2024-07-22T06:00:00+02:00,0.1419,0.1428,0.1365,0.1372,5234835
2024-07-22T10:00:00+02:00,0.1373,0.1392,0.136,0.1392,4432469
2024-07-22T14:00:00+02:00,0.1392,0.1418,0.1358,0.1402,8138340
2024-07-22T18:00:00+02:00,0.1403,0.1427,0.1377,0.142,9914903
2024-07-22T22:00:00+02:00,0.1426,0.1427,0.1368,0.1379,5691036
2024-07-23T02:00:00+02:00,0.1379,0.1394,0.1372,0.1377,5325690
2024-07-23T06:00:00+02:00,0.1384,0.1385,0.1329,0.1345,5295481
2024-07-23T10:00:00+02:00,0.1345,0.137,0.1337,0.1348,3092501
2024-07-23T14:00:00+02:00,0.1348,0.1348,0.1297,0.1319,15783730
2024-07-23T18:00:00+02:00,0.132,0.1328,0.1284,0.1304,7123187
2024-07-23T22:00:00+02:00,0.1304,0.1319,0.129,0.13,3613141
2024-07-24T02:00:00+02:00,0.1306,0.1316,0.129,0.1315,1304321
2024-07-24T06:00:00+02:00,0.1315,0.1327,0.1295,0.1321,3698364
2024-07-24T10:00:00+02:00,0.1329,0.1345,0.1314,0.1335,5459182
2024-07-24T14:00:00+02:00,0.1328,0.1352,0.1311,0.1318,4190505
2024-07-24T18:00:00+02:00,0.1319,0.1335,0.1293,0.1302,15017368
2024-07-24T22:00:00+02:00,0.1296,0.1309,0.1267,0.1282,3431735
2024-07-25T02:00:00+02:00,0.1283,0.1292,0.1216,0.1231,10828484
2024-07-25T06:00:00+02:00,0.123,0.1248,0.122,0.1238,2381446
2024-07-25T10:00:00+02:00,0.1238,0.1257,0.1228,0.1244,4485354
2024-07-25T14:00:00+02:00,0.1237,0.126,0.1219,0.1236,4728998
2024-07-25T18:00:00+02:00,0.1245,0.1257,0.1206,0.1223,8696780
2024-07-25T22:00:00+02:00,0.1223,0.1258,0.12,0.1249,3779364
2024-07-26T02:00:00+02:00,0.1258,0.1299,0.1257,0.1288,3770410
2024-07-26T06:00:00+02:00,0.1288,0.1303,0.128,0.1292,1673102
2024-07-26T10:00:00+02:00,0.1292,0.1305,0.1285,0.1293,2013090
2024-07-26T14:00:00+02:00,0.13,0.1316,0.1287,0.1298,3187279
2024-07-26T18:00:00+02:00,0.1298,0.1356,0.1297,0.1334,6387342
2024-07-26T22:00:00+02:00,0.1339,0.1355,0.1323,0.1339,1629643
2024-07-27T02:00:00+02:00,0.1339,0.1352,0.1327,0.1343,2241840
2024-07-27T06:00:00+02:00,0.1343,0.1353,0.1332,0.1348,1204385
2024-07-27T10:00:00+02:00,0.1349,0.1365,0.1339,0.1352,1896899
2024-07-27T14:00:00+02:00,0.1352,0.1388,0.1332,0.1344,4924061
2024-07-27T18:00:00+02:00,0.1344,0.1385,0.1311,0.1366,32809409
2024-07-27T22:00:00+02:00,0.1354,0.1358,0.1311,0.1311,15704742
2024-07-28T02:00:00+02:00,0.1309,0.1321,0.1292,0.1292,2637587
2024-07-28T06:00:00+02:00,0.1299,0.1311,0.1278,0.1304,3223355
2024-07-28T10:00:00+02:00,0.1304,0.132,0.1299,0.1311,1463432
2024-07-28T14:00:00+02:00,0.1309,0.1314,0.1286,0.1302,1949047
2024-07-28T18:00:00+02:00,0.13,0.1311,0.1288,0.1302,1259280
2024-07-28T22:00:00+02:00,0.1296,0.1303,0.1283,0.1297,3162820
2024-07-29T02:00:00+02:00,0.1305,0.1354,0.1301,0.1339,5913282
2024-07-29T06:00:00+02:00,0.1339,0.1354,0.1331,0.1342,4965919
2024-07-29T10:00:00+02:00,0.135,0.1356,0.133,0.1331,2543821
2024-07-29T14:00:00+02:00,0.133,0.1342,0.1287,0.1294,1548675
2024-07-29T18:00:00+02:00,0.1293,0.1308,0.1279,0.1301,5462885
2024-07-29T22:00:00+02:00,0.1299,0.1301,0.1274,0.1284,1450928
2024-07-30T02:00:00+02:00,0.129,0.1305,0.1267,0.1293,3476098
2024-07-30T06:00:00+02:00,0.1292,0.1306,0.1282,0.1299,2187815
2024-07-30T10:00:00+02:00,0.1306,0.1306,0.1286,0.1287,2666845
2024-07-30T14:00:00+02:00,0.1292,0.1299,0.1266,0.1278,2764025
2024-07-30T18:00:00+02:00,0.1278,0.1284,0.1241,0.1252,4782232
2024-07-30T22:00:00+02:00,0.1253,0.1267,0.1236,0.1259,3443073
2024-07-31T02:00:00+02:00,0.1258,0.1268,0.1247,0.1256,753462
2024-07-31T06:00:00+02:00,0.1256,0.1271,0.1234,0.1266,2001630
2024-07-31T10:00:00+02:00,0.1266,0.1267,0.1247,0.1256,3922084
2024-07-31T14:00:00+02:00,0.1249,0.1272,0.1249,0.1262,1247296
2024-07-31T18:00:00+02:00,0.1262,0.1275,0.1218,0.1227,3797757
2024-07-31T22:00:00+02:00,0.1232,0.1232,0.121,0.1216,3481238
2024-08-01T02:00:00+02:00,0.1222,0.1235,0.1208,0.1215,2182689
2024-08-01T06:00:00+02:00,0.1215,0.1215,0.1183,0.1209,8971044
2024-08-01T10:00:00+02:00,0.1209,0.1215,0.12,0.1202,855045
2024-08-01T14:00:00+02:00,0.1203,0.122,0.1154,0.1157,6733333
2024-08-01T18:00:00+02:00,0.1157,0.1167,0.1121,0.1152,10151822
2024-08-01T22:00:00+02:00,0.1148,0.1203,0.1144,0.1196,2904787
2024-08-02T02:00:00+02:00,0.119,0.1196,0.1158,0.1182,1624447
2024-08-02T06:00:00+02:00,0.1182,0.1182,0.1143,0.1162,4886208
2024-08-02T10:00:00+02:00,0.1168,0.1182,0.1156,0.1177,706154
2024-08-02T14:00:00+02:00,0.1176,0.1197,0.1099,0.1138,10534924
2024-08-02T18:00:00+02:00,0.1134,0.1146,0.1113,0.1127,6221303
2024-08-02T22:00:00+02:00,0.1128,0.1134,0.11,0.1118,3875145
2024-08-03T02:00:00+02:00,0.1119,0.1129,0.108,0.1125,3921039
2024-08-03T06:00:00+02:00,0.1126,0.1148,0.112,0.1135,3185247
2024-08-03T10:00:00+02:00,0.1134,0.114,0.1119,0.1133,2213044
2024-08-03T14:00:00+02:00,0.1133,0.1143,0.1102,0.1102,4459815
2024-08-03T18:00:00+02:00,0.1104,0.1113,0.1055,0.106,8734904
2024-08-03T22:00:00+02:00,0.1061,0.1092,0.1048,0.1081,6369557
2024-08-04T02:00:00+02:00,0.108,0.1093,0.1068,0.1087,1246389
2024-08-04T06:00:00+02:00,0.1093,0.1094,0.1062,0.1068,2406261
2024-08-04T10:00:00+02:00,0.1069,0.1079,0.1054,0.1077,1792639
2024-08-04T14:00:00+02:00,0.1078,0.1081,0.1027,0.1028,8105810
2024-08-04T18:00:00+02:00,0.1035,0.1056,0.0992,0.105,20481576
2024-08-04T22:00:00+02:00,0.1043,0.1061,0.1034,0.1041,4456847
2024-08-05T02:00:00+02:00,0.1042,0.1042,0.0893,0.0916,114029196
2024-08-05T06:00:00+02:00,0.0916,0.0938,0.0821,0.0891,42947593
2024-08-05T10:00:00+02:00,0.0885,0.0894,0.0805,0.0848,62928186
2024-08-05T14:00:00+02:00,0.0845,0.0956,0.0821,0.0952,38359884
2024-08-05T18:00:00+02:00,0.0957,0.0988,0.0924,0.0941,8080082
2024-08-05T22:00:00+02:00,0.0944,0.0969,0.0939,0.0946,2998840
2024-08-06T02:00:00+02:00,0.0941,0.1018,0.0941,0.0987,7992210
2024-08-06T06:00:00+02:00,0.0987,0.1004,0.0975,0.0994,3366759
2024-08-06T10:00:00+02:00,0.0991,0.0996,0.0953,0.0962,6397483
2024-08-06T14:00:00+02:00,0.0961,0.0998,0.0939,0.0976,7232659
2024-08-06T18:00:00+02:00,0.0976,0.0992,0.0964,0.097,4858509
2024-08-06T22:00:00+02:00,0.0977,0.0985,0.0957,0.0965,5622848
2024-08-07T02:00:00+02:00,0.0965,0.0996,0.0951,0.0985,4269484
2024-08-07T06:00:00+02:00,0.0983,0.1002,0.0981,0.0991,2180750
2024-08-07T10:00:00+02:00,0.0991,0.1026,0.0986,0.0993,3748127
2024-08-07T14:00:00+02:00,0.0993,0.1021,0.0959,0.0982,7360340
2024-08-07T18:00:00+02:00,0.0982,0.0983,0.0955,0.0959,6298565
2024-08-07T22:00:00+02:00,0.0965,0.0977,0.0941,0.0958,3788146
2024-08-08T02:00:00+02:00,0.0959,0.1013,0.0937,0.0997,5646661
2024-08-08T06:00:00+02:00,0.0994,0.1007,0.0989,0.099,2102788
2024-08-08T10:00:00+02:00,0.0995,0.1012,0.099,0.1005,2784352
2024-08-08T14:00:00+02:00,0.1002,0.1041,0.0992,0.1041,12313863
2024-08-08T18:00:00+02:00,0.104,0.1053,0.1016,0.1023,8865735
2024-08-08T22:00:00+02:00,0.1023,0.1082,0.1021,0.1074,4456505
2024-08-09T02:00:00+02:00,0.1073,0.1081,0.1048,0.1062,2205947
2024-08-09T06:00:00+02:00,0.1061,0.1061,0.1039,0.1053,1081714
2024-08-09T10:00:00+02:00,0.1054,0.1058,0.1037,0.105,748882
2024-08-09T14:00:00+02:00,0.105,0.1057,0.1012,0.1017,5332413
2024-08-09T18:00:00+02:00,0.1018,0.1041,0.1018,0.1031,7928594
2024-08-09T22:00:00+02:00,0.1039,0.1046,0.1028,0.1032,2704599
2024-08-10T02:00:00+02:00,0.104,0.1053,0.1032,0.1041,3488754
2024-08-10T06:00:00+02:00,0.104,0.1052,0.1032,0.1047,1588413
2024-08-10T10:00:00+02:00,0.1047,0.1053,0.1038,0.1048,707344
2024-08-10T14:00:00+02:00,0.1049,0.105,0.1034,0.105,574193
2024-08-10T18:00:00+02:00,0.1042,0.1064,0.1042,0.1056,2247973
2024-08-10T22:00:00+02:00,0.1056,0.1058,0.1046,0.1054,201589
2024-08-11T02:00:00+02:00,0.1054,0.1109,0.1051,0.1101,7769556
2024-08-11T06:00:00+02:00,0.1101,0.1103,0.1085,0.1097,2036332
2024-08-11T10:00:00+02:00,0.1097,0.1104,0.1072,0.1074,3952275
2024-08-11T14:00:00+02:00,0.1074,0.1081,0.104,0.1047,6104164
2024-08-11T18:00:00+02:00,0.1047,0.1062,0.1028,0.1034,3436617
2024-08-11T22:00:00+02:00,0.1032,0.1032,0.0997,0.101,6067729
2024-08-12T02:00:00+02:00,0.101,0.1028,0.1,0.1013,3429818
2024-08-12T06:00:00+02:00,0.1019,0.104,0.1002,0.1027,3124319
2024-08-12T10:00:00+02:00,0.1034,0.1077,0.1022,0.1066,7646877
2024-08-12T14:00:00+02:00,0.1065,0.1085,0.102,0.1072,8752325
2024-08-12T18:00:00+02:00,0.1065,0.1082,0.1036,0.1051,2247933
2024-08-12T22:00:00+02:00,0.1058,0.109,0.1044,0.1075,7143371
2024-08-13T02:00:00+02:00,0.108,0.1095,0.1045,0.1046,5225631
2024-08-13T06:00:00+02:00,0.1052,0.1058,0.1037,0.1042,2081546
2024-08-13T10:00:00+02:00,0.1048,0.105,0.1033,0.1047,4723509
2024-08-13T14:00:00+02:00,0.1048,0.1063,0.1037,0.1047,2466703
2024-08-13T18:00:00+02:00,0.1054,0.1078,0.1045,0.1053,5872473
2024-08-13T22:00:00+02:00,0.1059,0.1072,0.1049,0.1061,2355413
2024-08-14T02:00:00+02:00,0.1061,0.1067,0.1048,0.1055,3536970
2024-08-14T06:00:00+02:00,0.1062,0.1064,0.1051,0.1054,1975790
