time,open,high,low,close,Volume
2024-07-11T02:00:00+02:00,3.972,4.078,3.939,3.973,857063.14
2024-07-11T06:00:00+02:00,3.972,4.039,3.959,4.011,401778.32
2024-07-11T10:00:00+02:00,4.009,4.049,3.979,4.027,348624.15
2024-07-11T14:00:00+02:00,4.028,4.159,4.018,4.093,1845114.58
2024-07-11T18:00:00+02:00,4.092,4.222,4.074,4.188,2318513.87
2024-07-11T22:00:00+02:00,4.186,4.234,4.066,4.082,1132816.14
2024-07-12T02:00:00+02:00,4.081,4.147,4.005,4.021,681117.65
2024-07-12T06:00:00+02:00,4.021,4.069,3.983,4.04,497475.53
2024-07-12T10:00:00+02:00,4.04,4.078,3.965,3.998,929869.01
2024-07-12T14:00:00+02:00,3.998,4.061,3.971,4.012,1114051.03
2024-07-12T18:00:00+02:00,4.013,4.048,3.982,3.99,735975.63
2024-07-12T22:00:00+02:00,3.99,4.125,3.955,4.125,610965
2024-07-13T02:00:00+02:00,4.125,4.18,4.088,4.14,565861.59
2024-07-13T06:00:00+02:00,4.14,4.277,4.136,4.273,970395.95
2024-07-13T10:00:00+02:00,4.272,4.279,4.164,4.188,691590.97
2024-07-13T14:00:00+02:00,4.188,4.258,4.168,4.252,710902.62
2024-07-13T18:00:00+02:00,4.251,4.3,4.223,4.296,661851.77
2024-07-13T22:00:00+02:00,4.296,4.316,4.242,4.284,639232.44
2024-07-14T02:00:00+02:00,4.284,4.299,4.242,4.269,529206.02
2024-07-14T06:00:00+02:00,4.268,4.338,4.231,4.237,817113.79
2024-07-14T10:00:00+02:00,4.236,4.285,4.223,4.231,461376.55
2024-07-14T14:00:00+02:00,4.234,4.243,4.185,4.236,621869.15
2024-07-14T18:00:00+02:00,4.236,4.26,4.2,4.205,291404.97
2024-07-14T22:00:00+02:00,4.206,4.35,4.203,4.274,998013.32
2024-07-15T02:00:00+02:00,4.272,4.358,4.242,4.328,982113.15
2024-07-15T06:00:00+02:00,4.328,4.359,4.3,4.327,803350.29
2024-07-15T10:00:00+02:00,4.326,4.337,4.222,4.246,966802.55
2024-07-15T14:00:00+02:00,4.246,4.308,4.206,4.238,1297707.6
2024-07-15T18:00:00+02:00,4.238,4.351,4.224,4.325,941373.57
2024-07-15T22:00:00+02:00,4.325,4.461,4.317,4.443,973851.47
2024-07-16T02:00:00+02:00,4.444,4.48,4.405,4.462,1111603.59
2024-07-16T06:00:00+02:00,4.463,4.488,4.282,4.299,1245633.65
2024-07-16T10:00:00+02:00,4.299,4.35,4.236,4.319,1038521.63
2024-07-16T14:00:00+02:00,4.319,4.456,4.264,4.447,1179568.39
2024-07-16T18:00:00+02:00,4.446,4.598,4.428,4.566,1472701.05
2024-07-16T22:00:00+02:00,4.565,4.624,4.49,4.535,736839.08
2024-07-17T02:00:00+02:00,4.534,4.6,4.483,4.53,1161162.66
2024-07-17T06:00:00+02:00,4.53,4.632,4.505,4.59,1158142.84
2024-07-17T10:00:00+02:00,4.59,4.636,4.507,4.563,772200.24
2024-07-17T14:00:00+02:00,4.564,4.841,4.544,4.707,2235660.18
2024-07-17T18:00:00+02:00,4.705,4.709,4.54,4.62,1874826.42
2024-07-17T22:00:00+02:00,4.62,4.647,4.544,4.556,581461.67
2024-07-18T02:00:00+02:00,4.557,4.657,4.548,4.604,727557.48
2024-07-18T06:00:00+02:00,4.604,4.608,4.493,4.525,896820.02
2024-07-18T10:00:00+02:00,4.526,4.546,4.467,4.527,651853.62
2024-07-18T14:00:00+02:00,4.527,4.559,4.386,4.396,1252613.23
2024-07-18T18:00:00+02:00,4.395,4.434,4.307,4.337,770333.2
2024-07-18T22:00:00+02:00,4.337,4.394,4.312,4.387,406485.05
2024-07-19T02:00:00+02:00,4.387,4.477,4.293,4.465,1056863.4
2024-07-19T06:00:00+02:00,4.466,4.48,4.355,4.369,471753.09
2024-07-19T10:00:00+02:00,4.369,4.401,4.303,4.346,771181.23
2024-07-19T14:00:00+02:00,4.346,4.491,4.327,4.48,966517.66
2024-07-19T18:00:00+02:00,4.48,4.71,4.479,4.679,1546266.23
2024-07-19T22:00:00+02:00,4.68,4.699,4.62,4.653,549134.28
2024-07-20T02:00:00+02:00,4.653,4.75,4.596,4.72,1417611.86
2024-07-20T06:00:00+02:00,4.72,4.736,4.67,4.694,581295.08
2024-07-20T10:00:00+02:00,4.694,4.702,4.607,4.611,400277.74
2024-07-20T14:00:00+02:00,4.611,4.701,4.572,4.693,593939.36
2024-07-20T18:00:00+02:00,4.693,4.784,4.687,4.726,955017.83
2024-07-20T22:00:00+02:00,4.724,4.74,4.67,4.711,360733.69
2024-07-21T02:00:00+02:00,4.711,4.737,4.679,4.714,293090.2
2024-07-21T06:00:00+02:00,4.712,4.723,4.617,4.636,537927.6
2024-07-21T10:00:00+02:00,4.636,4.67,4.614,4.643,547620.71
2024-07-21T14:00:00+02:00,4.641,4.716,4.587,4.643,642973.21
2024-07-21T18:00:00+02:00,4.644,4.721,4.493,4.647,997389.1
2024-07-21T22:00:00+02:00,4.646,4.801,4.638,4.777,886921.29
2024-07-22T02:00:00+02:00,4.777,4.822,4.712,4.712,504578.68
2024-07-22T06:00:00+02:00,4.712,4.718,4.562,4.657,1009079.12
2024-07-22T10:00:00+02:00,4.657,4.676,4.613,4.662,430435.2
2024-07-22T14:00:00+02:00,4.66,4.723,4.57,4.652,1007928.03
2024-07-22T18:00:00+02:00,4.651,4.73,4.629,4.709,617590.22
2024-07-22T22:00:00+02:00,4.709,4.712,4.481,4.509,760442.52
2024-07-23T02:00:00+02:00,4.509,4.603,4.502,4.526,396131.16
2024-07-23T06:00:00+02:00,4.526,4.54,4.41,4.451,874067.32
2024-07-23T10:00:00+02:00,4.452,4.561,4.445,4.532,724296.49
2024-07-23T14:00:00+02:00,4.532,4.562,4.446,4.494,864093
2024-07-23T18:00:00+02:00,4.492,4.496,4.334,4.422,748953.14
2024-07-23T22:00:00+02:00,4.422,4.475,4.409,4.455,448763.56
2024-07-24T02:00:00+02:00,4.455,4.469,4.4,4.466,271260.21
2024-07-24T06:00:00+02:00,4.464,4.477,4.408,4.475,350468.53
2024-07-24T10:00:00+02:00,4.475,4.55,4.467,4.528,499730.46
2024-07-24T14:00:00+02:00,4.526,4.538,4.43,4.436,577406.8
2024-07-24T18:00:00+02:00,4.437,4.45,4.298,4.324,726772.66
2024-07-24T22:00:00+02:00,4.324,4.341,4.211,4.269,739317.72
2024-07-25T02:00:00+02:00,4.268,4.289,4.063,4.129,1802263.24
2024-07-25T06:00:00+02:00,4.128,4.192,4.106,4.172,534232.34
2024-07-25T10:00:00+02:00,4.172,4.202,4.154,4.174,359757.98
2024-07-25T14:00:00+02:00,4.175,4.211,4.096,4.163,889535.15
2024-07-25T18:00:00+02:00,4.162,4.209,4.067,4.126,726706.09
2024-07-25T22:00:00+02:00,4.127,4.215,4.037,4.199,477338.62
2024-07-26T02:00:00+02:00,4.199,4.3,4.186,4.277,643478.41
2024-07-26T06:00:00+02:00,4.276,4.392,4.272,4.367,641560.69
2024-07-26T10:00:00+02:00,4.366,4.423,4.366,4.402,535757.11
2024-07-26T14:00:00+02:00,4.402,4.5,4.366,4.495,2342755.01
2024-07-26T18:00:00+02:00,4.495,4.712,4.488,4.68,4155642.63
2024-07-26T22:00:00+02:00,4.679,4.684,4.621,4.642,638012.41
2024-07-27T02:00:00+02:00,4.643,4.662,4.565,4.573,633340.91
2024-07-27T06:00:00+02:00,4.574,4.636,4.574,4.609,1092400.2
2024-07-27T10:00:00+02:00,4.61,4.634,4.584,4.627,1968117.83
2024-07-27T14:00:00+02:00,4.627,4.67,4.569,4.608,1691115.46
2024-07-27T18:00:00+02:00,4.608,4.628,4.523,4.619,924307.66
