time,open,high,low,close,Volume
2024-05-16T06:00:00+02:00,0.5174,0.5208,0.5165,0.5207,52608866
2024-05-16T10:00:00+02:00,0.5207,0.5228,0.5161,0.5188,64849417
2024-05-16T14:00:00+02:00,0.5189,0.5196,0.5123,0.5185,78764915
2024-05-16T18:00:00+02:00,0.5185,0.5215,0.5159,0.5181,49870394
2024-05-16T22:00:00+02:00,0.5181,0.5183,0.513,0.5157,23095141
2024-05-17T02:00:00+02:00,0.5158,0.5178,0.5135,0.5168,37196779
2024-05-17T06:00:00+02:00,0.5167,0.523,0.5148,0.5218,64604175
2024-05-17T10:00:00+02:00,0.5218,0.5227,0.518,0.5204,66365486
2024-05-17T14:00:00+02:00,0.5204,0.5269,0.5197,0.5254,64989274
2024-05-17T18:00:00+02:00,0.5254,0.5292,0.5215,0.524,37419452
2024-05-17T22:00:00+02:00,0.5239,0.5247,0.5216,0.5234,15921594
2024-05-18T02:00:00+02:00,0.5235,0.5244,0.5216,0.5241,13953760
2024-05-18T06:00:00+02:00,0.5241,0.5243,0.5218,0.5227,16043994
2024-05-18T10:00:00+02:00,0.5228,0.5256,0.5226,0.5238,16851810
2024-05-18T14:00:00+02:00,0.5238,0.5246,0.5186,0.522,25913917
2024-05-18T18:00:00+02:00,0.5221,0.5227,0.5203,0.5205,9143793
2024-05-18T22:00:00+02:00,0.5205,0.522,0.5201,0.5213,8269552
2024-05-19T02:00:00+02:00,0.5213,0.5236,0.5202,0.5223,12096069
2024-05-19T06:00:00+02:00,0.5223,0.5227,0.5193,0.5206,14672530
2024-05-19T10:00:00+02:00,0.5206,0.521,0.5157,0.5177,19919751
2024-05-19T14:00:00+02:00,0.5177,0.5177,0.5112,0.5126,28453476
2024-05-19T18:00:00+02:00,0.5126,0.513,0.5072,0.5077,21024997
2024-05-19T22:00:00+02:00,0.5077,0.5106,0.5063,0.5096,16807755
2024-05-20T02:00:00+02:00,0.5096,0.5138,0.5064,0.5131,35690443
2024-05-20T06:00:00+02:00,0.513,0.5182,0.5064,0.5141,67880485
2024-05-20T10:00:00+02:00,0.514,0.5148,0.5102,0.5124,45553357
2024-05-20T14:00:00+02:00,0.5123,0.5178,0.5104,0.5167,49046445
2024-05-20T18:00:00+02:00,0.5167,0.5348,0.5159,0.5339,93292352
2024-05-20T22:00:00+02:00,0.5339,0.538,0.5287,0.5377,113417372
2024-05-21T02:00:00+02:00,0.5377,0.5431,0.5334,0.5354,91651272
2024-05-21T06:00:00+02:00,0.5353,0.5408,0.533,0.5408,81382864
2024-05-21T10:00:00+02:00,0.5408,0.5467,0.5383,0.5427,97234265
2024-05-21T14:00:00+02:00,0.5427,0.5571,0.5408,0.5425,116114597
2024-05-21T18:00:00+02:00,0.5424,0.5468,0.5337,0.5372,65271696
2024-05-21T22:00:00+02:00,0.5371,0.5412,0.5319,0.537,39741587
2024-05-22T02:00:00+02:00,0.537,0.5375,0.5328,0.5364,31618928
2024-05-22T06:00:00+02:00,0.5365,0.5365,0.5286,0.5346,68477055
2024-05-22T10:00:00+02:00,0.5346,0.5383,0.5308,0.5328,60528067
2024-05-22T14:00:00+02:00,0.5327,0.5368,0.5263,0.5357,71525241
2024-05-22T18:00:00+02:00,0.5357,0.5379,0.5266,0.5288,39061918
2024-05-22T22:00:00+02:00,0.5289,0.5303,0.5224,0.5268,31972378
2024-05-23T02:00:00+02:00,0.5268,0.5298,0.5254,0.5296,35694847
2024-05-23T06:00:00+02:00,0.5296,0.53,0.5248,0.529,53267776
2024-05-23T10:00:00+02:00,0.5291,0.5308,0.5224,0.529,55269660
2024-05-23T14:00:00+02:00,0.529,0.5488,0.5113,0.5292,248708494
2024-05-23T18:00:00+02:00,0.5291,0.5305,0.5163,0.5206,71837434
2024-05-23T22:00:00+02:00,0.5205,0.5302,0.5027,0.5289,120356385
2024-05-24T02:00:00+02:00,0.5288,0.5351,0.526,0.5306,44406058
2024-05-24T06:00:00+02:00,0.5306,0.5318,0.5168,0.523,69857420
2024-05-24T10:00:00+02:00,0.5229,0.5318,0.5178,0.5279,69402924
2024-05-24T14:00:00+02:00,0.5279,0.5375,0.5268,0.5327,80423215
2024-05-24T18:00:00+02:00,0.5327,0.5341,0.53,0.5331,36287837
2024-05-24T22:00:00+02:00,0.5331,0.5364,0.5313,0.536,22615066
2024-05-25T02:00:00+02:00,0.5359,0.536,0.5333,0.5346,17704145
2024-05-25T06:00:00+02:00,0.5347,0.5377,0.5341,0.5349,20684448
2024-05-25T10:00:00+02:00,0.5349,0.5418,0.5341,0.5376,24283704
2024-05-25T14:00:00+02:00,0.5376,0.5425,0.5318,0.5397,37630974
2024-05-25T18:00:00+02:00,0.5397,0.5406,0.5375,0.5393,14059203
2024-05-25T22:00:00+02:00,0.5394,0.5426,0.5386,0.5416,18013730
2024-05-26T02:00:00+02:00,0.5416,0.542,0.5385,0.54,14498628
2024-05-26T06:00:00+02:00,0.54,0.54,0.5377,0.5396,11576966
2024-05-26T10:00:00+02:00,0.5395,0.54,0.5341,0.5363,20928971
2024-05-26T14:00:00+02:00,0.5363,0.5364,0.5294,0.5312,25693477
2024-05-26T18:00:00+02:00,0.5311,0.532,0.5294,0.5309,16114265
2024-05-26T22:00:00+02:00,0.531,0.531,0.5255,0.5283,19986959
2024-05-27T02:00:00+02:00,0.5283,0.5337,0.5275,0.5317,23423167
2024-05-27T06:00:00+02:00,0.5316,0.5323,0.5236,0.528,56867508
2024-05-27T10:00:00+02:00,0.528,0.5324,0.5267,0.528,50008832
2024-05-27T14:00:00+02:00,0.528,0.5409,0.5278,0.5392,56022396
2024-05-27T18:00:00+02:00,0.5392,0.5408,0.5286,0.5317,38872212
2024-05-27T22:00:00+02:00,0.5316,0.5366,0.531,0.534,19788602
2024-05-28T02:00:00+02:00,0.5339,0.5355,0.5254,0.5275,59415816
2024-05-28T06:00:00+02:00,0.5274,0.5282,0.5211,0.5264,59835519
2024-05-28T10:00:00+02:00,0.5263,0.5332,0.5256,0.5305,56406063
2024-05-28T14:00:00+02:00,0.5304,0.5336,0.5258,0.5301,56745209
2024-05-28T18:00:00+02:00,0.53,0.5304,0.5224,0.5271,33452023
2024-05-28T22:00:00+02:00,0.527,0.53,0.5257,0.5287,16615170
2024-05-29T02:00:00+02:00,0.5286,0.5294,0.5249,0.5288,36245562
2024-05-29T06:00:00+02:00,0.5288,0.532,0.5251,0.526,56400620
2024-05-29T10:00:00+02:00,0.5259,0.5334,0.5215,0.5291,102559802
2024-05-29T14:00:00+02:00,0.5292,0.5322,0.5274,0.528,60491258
2024-05-29T18:00:00+02:00,0.528,0.5291,0.5231,0.5232,31815400
2024-05-29T22:00:00+02:00,0.5233,0.5249,0.52,0.5238,29278437
2024-05-30T02:00:00+02:00,0.5238,0.5278,0.5228,0.5276,38069305
2024-05-30T06:00:00+02:00,0.5275,0.5283,0.5138,0.5157,87373536
2024-05-30T10:00:00+02:00,0.5157,0.5223,0.5127,0.5204,102490209
2024-05-30T14:00:00+02:00,0.5203,0.5247,0.5195,0.5245,71454323
2024-05-30T18:00:00+02:00,0.5245,0.5262,0.5213,0.522,34948452
2024-05-30T22:00:00+02:00,0.522,0.522,0.5167,0.5186,27426977
2024-05-31T02:00:00+02:00,0.5185,0.5221,0.5176,0.5217,32543196
2024-05-31T06:00:00+02:00,0.5217,0.5219,0.5159,0.5164,47713555
2024-05-31T10:00:00+02:00,0.5163,0.5234,0.5161,0.5214,80177864
2024-05-31T14:00:00+02:00,0.5214,0.5259,0.5171,0.5176,85454909
2024-05-31T18:00:00+02:00,0.5176,0.5194,0.5119,0.5181,41015102
2024-05-31T22:00:00+02:00,0.5181,0.5199,0.517,0.5176,17494118
2024-06-01T02:00:00+02:00,0.5176,0.5201,0.5174,0.5192,15768906
2024-06-01T06:00:00+02:00,0.5192,0.5199,0.5182,0.5188,13801014
2024-06-01T10:00:00+02:00,0.5189,0.5213,0.5183,0.5201,17998338
2024-06-01T14:00:00+02:00,0.5201,0.5219,0.5197,0.5201,15672456
2024-06-01T18:00:00+02:00,0.5201,0.5208,0.5183,0.5197,12809195
2024-06-01T22:00:00+02:00,0.5197,0.5206,0.518,0.5187,12244645
2024-06-02T02:00:00+02:00,0.5187,0.5197,0.518,0.519,13131411
2024-06-02T06:00:00+02:00,0.519,0.5194,0.5163,0.5165,13456375
2024-06-02T10:00:00+02:00,0.5165,0.5178,0.5128,0.5174,32075167
2024-06-02T14:00:00+02:00,0.5174,0.5209,0.5165,0.5176,19586413
2024-06-02T18:00:00+02:00,0.5176,0.5179,0.508,0.5125,39175380
2024-06-02T22:00:00+02:00,0.5125,0.515,0.5102,0.5135,13477350
2024-06-03T02:00:00+02:00,0.5135,0.5192,0.5118,0.5166,27939778
2024-06-03T06:00:00+02:00,0.5166,0.5222,0.5151,0.5211,75434732
2024-06-03T10:00:00+02:00,0.5211,0.5232,0.5188,0.5189,43942906
2024-06-03T14:00:00+02:00,0.5188,0.523,0.5165,0.5218,46876168
2024-06-03T18:00:00+02:00,0.5217,0.5221,0.5171,0.5217,26119939
2024-06-03T22:00:00+02:00,0.5217,0.5226,0.5196,0.5199,17345583
2024-06-04T02:00:00+02:00,0.5199,0.5222,0.5182,0.5215,27223763
2024-06-04T06:00:00+02:00,0.5215,0.5218,0.5183,0.5204,36412979
2024-06-04T10:00:00+02:00,0.5204,0.5257,0.5182,0.5227,77392270
2024-06-04T14:00:00+02:00,0.5226,0.5297,0.5222,0.5295,53823925
2024-06-04T18:00:00+02:00,0.5295,0.5303,0.5246,0.5272,41200724
2024-06-04T22:00:00+02:00,0.5272,0.5272,0.5243,0.5257,16477972
2024-06-05T02:00:00+02:00,0.5257,0.5278,0.5244,0.5257,42646321
2024-06-05T06:00:00+02:00,0.5256,0.5275,0.524,0.527,50200007
2024-06-05T10:00:00+02:00,0.527,0.5326,0.5253,0.5288,77186082
2024-06-05T14:00:00+02:00,0.5287,0.5302,0.5258,0.5292,36905154
2024-06-05T18:00:00+02:00,0.5291,0.5304,0.5255,0.5275,25983101
2024-06-05T22:00:00+02:00,0.5274,0.5277,0.524,0.5258,15124608
2024-06-06T02:00:00+02:00,0.5259,0.5273,0.5241,0.5255,35390540
2024-06-06T06:00:00+02:00,0.5256,0.526,0.5221,0.5248,78450012
2024-06-06T10:00:00+02:00,0.5248,0.5275,0.5216,0.5262,53521749
2024-06-06T14:00:00+02:00,0.5262,0.5281,0.525,0.5264,57267657
2024-06-06T18:00:00+02:00,0.5264,0.5279,0.5193,0.52,42686212
2024-06-06T22:00:00+02:00,0.5201,0.5223,0.5164,0.5215,22341329
2024-06-07T02:00:00+02:00,0.5214,0.5227,0.5198,0.5227,40012787
2024-06-07T06:00:00+02:00,0.5227,0.5279,0.5222,0.5254,59673373
2024-06-07T10:00:00+02:00,0.5254,0.528,0.5224,0.5273,55033265
2024-06-07T14:00:00+02:00,0.5273,0.528,0.5217,0.5239,70407742
2024-06-07T18:00:00+02:00,0.5239,0.524,0.4508,0.4933,268866962
2024-06-07T22:00:00+02:00,0.4932,0.5031,0.4917,0.4991,55549259
2024-06-08T02:00:00+02:00,0.4991,0.5005,0.4969,0.5002,23095378
2024-06-08T06:00:00+02:00,0.5001,0.5008,0.4984,0.5003,14345911
2024-06-08T10:00:00+02:00,0.5002,0.5003,0.4915,0.4935,23340621
2024-06-08T14:00:00+02:00,0.4934,0.4957,0.4905,0.4932,41907351
2024-06-08T18:00:00+02:00,0.4933,0.4953,0.4897,0.493,29292851
2024-06-08T22:00:00+02:00,0.4931,0.4945,0.4913,0.4926,20139300
2024-06-09T02:00:00+02:00,0.4927,0.4944,0.4909,0.4931,16920649
2024-06-09T06:00:00+02:00,0.493,0.4945,0.4923,0.4939,14431792
2024-06-09T10:00:00+02:00,0.4939,0.4951,0.4931,0.4945,13022355
2024-06-09T14:00:00+02:00,0.4944,0.4971,0.4935,0.4951,24382509
2024-06-09T18:00:00+02:00,0.4952,0.4982,0.4949,0.4975,10937435
2024-06-09T22:00:00+02:00,0.4975,0.4992,0.497,0.4986,11241342
2024-06-10T02:00:00+02:00,0.4987,0.5013,0.4967,0.5009,30666677
2024-06-10T06:00:00+02:00,0.501,0.501,0.4933,0.4937,55166715
2024-06-10T10:00:00+02:00,0.4938,0.5,0.4935,0.497,53151875
2024-06-10T14:00:00+02:00,0.4969,0.506,0.4961,0.5045,45741365
2024-06-10T18:00:00+02:00,0.5046,0.505,0.4963,0.4967,41628134
2024-06-10T22:00:00+02:00,0.4968,0.4981,0.4946,0.4969,23404580
2024-06-11T02:00:00+02:00,0.4969,0.497,0.4815,0.488,87064351
2024-06-11T06:00:00+02:00,0.4881,0.4887,0.4795,0.486,90060110
2024-06-11T10:00:00+02:00,0.4859,0.4879,0.4834,0.4842,64943847
2024-06-11T14:00:00+02:00,0.4842,0.4848,0.4707,0.4765,119129488
2024-06-11T18:00:00+02:00,0.4764,0.482,0.4715,0.4798,51049823
2024-06-11T22:00:00+02:00,0.4798,0.4812,0.4789,0.4802,17163000
2024-06-12T02:00:00+02:00,0.4803,0.4818,0.4742,0.4817,46807785
2024-06-12T06:00:00+02:00,0.4816,0.4832,0.4779,0.4811,41251320
2024-06-12T10:00:00+02:00,0.4811,0.4851,0.4801,0.4816,62565125
2024-06-12T14:00:00+02:00,0.4817,0.4982,0.4817,0.4964,96441275
2024-06-12T18:00:00+02:00,0.4964,0.4976,0.4817,0.4844,73379552
2024-06-12T22:00:00+02:00,0.4843,0.4923,0.4826,0.4916,20661290
2024-06-13T02:00:00+02:00,0.4917,0.4917,0.4827,0.486,49880664
2024-06-13T06:00:00+02:00,0.4861,0.4893,0.4832,0.4884,43859124
2024-06-13T10:00:00+02:00,0.4885,0.4886,0.4838,0.4845,58007192
2024-06-13T14:00:00+02:00,0.4845,0.489,0.4796,0.4805,80851028
2024-06-13T18:00:00+02:00,0.4805,0.4848,0.479,0.4819,30460735
2024-06-13T22:00:00+02:00,0.4819,0.483,0.4756,0.4769,27139473
2024-06-14T02:00:00+02:00,0.4768,0.4814,0.4747,0.4787,56995832
2024-06-14T06:00:00+02:00,0.4787,0.4814,0.4774,0.4782,45091967
2024-06-14T10:00:00+02:00,0.4782,0.48,0.4764,0.4784,64100406
2024-06-14T14:00:00+02:00,0.4784,0.4808,0.4727,0.4743,74675086
2024-06-14T18:00:00+02:00,0.4743,0.4749,0.4601,0.4691,116258210
2024-06-14T22:00:00+02:00,0.4691,0.4789,0.4687,0.4746,32197236
2024-06-15T02:00:00+02:00,0.4746,0.4771,0.474,0.4769,16083623
2024-06-15T06:00:00+02:00,0.477,0.4799,0.4768,0.4785,18093379
2024-06-15T10:00:00+02:00,0.4785,0.4807,0.4784,0.4802,15542844
2024-06-15T14:00:00+02:00,0.4802,0.4853,0.4792,0.4848,23977720
2024-06-15T18:00:00+02:00,0.4848,0.5053,0.4838,0.4942,60777278
2024-06-15T22:00:00+02:00,0.4942,0.4974,0.489,0.4908,41969718
2024-06-16T02:00:00+02:00,0.4908,0.4917,0.4878,0.4912,32858259
2024-06-16T06:00:00+02:00,0.4911,0.4914,0.4881,0.4885,16964588
2024-06-16T10:00:00+02:00,0.4885,0.4997,0.4885,0.4963,41846998
2024-06-16T14:00:00+02:00,0.4963,0.4966,0.4891,0.491,34325255
2024-06-16T18:00:00+02:00,0.491,0.4912,0.4878,0.4899,14513465
2024-06-16T22:00:00+02:00,0.4899,0.4914,0.488,0.4891,21054250
2024-06-17T02:00:00+02:00,0.4891,0.4912,0.4842,0.4892,45680842
2024-06-17T06:00:00+02:00,0.4893,0.5013,0.4838,0.4995,111211184
2024-06-17T10:00:00+02:00,0.4995,0.5043,0.4911,0.4989,127020230
2024-06-17T14:00:00+02:00,0.4988,0.5213,0.4975,0.5094,175670898
2024-06-17T18:00:00+02:00,0.5094,0.5194,0.4945,0.518,81140863
2024-06-17T22:00:00+02:00,0.518,0.5188,0.5034,0.5047,44221049
2024-06-18T02:00:00+02:00,0.5048,0.5081,0.469,0.49,182885533
2024-06-18T06:00:00+02:00,0.49,0.5048,0.4872,0.5007,95613465
2024-06-18T10:00:00+02:00,0.5007,0.5096,0.4928,0.4959,115820312
2024-06-18T14:00:00+02:00,0.4959,0.497,0.4821,0.485,100239888
2024-06-18T18:00:00+02:00,0.485,0.485,0.4763,0.4824,56817326
2024-06-18T22:00:00+02:00,0.4824,0.4917,0.481,0.491,31350492
2024-06-19T02:00:00+02:00,0.4909,0.4976,0.4892,0.4956,50438612
2024-06-19T06:00:00+02:00,0.4956,0.4968,0.4904,0.4917,58332876
2024-06-19T10:00:00+02:00,0.4916,0.4941,0.4868,0.4924,64952425
2024-06-19T14:00:00+02:00,0.4924,0.4959,0.4902,0.4925,31733684
2024-06-19T18:00:00+02:00,0.4924,0.4996,0.4916,0.496,26262751
2024-06-19T22:00:00+02:00,0.496,0.498,0.4914,0.4933,28891994
2024-06-20T02:00:00+02:00,0.4933,0.4981,0.4916,0.4934,48316684
2024-06-20T06:00:00+02:00,0.4935,0.5023,0.4923,0.4997,77698804
2024-06-20T10:00:00+02:00,0.4997,0.5022,0.4942,0.501,72470222
2024-06-20T14:00:00+02:00,0.501,0.5017,0.4916,0.4922,73990582
2024-06-20T18:00:00+02:00,0.4922,0.4937,0.4883,0.4913,37290435
2024-06-20T22:00:00+02:00,0.4913,0.4924,0.4887,0.4888,15207493
2024-06-21T02:00:00+02:00,0.4888,0.491,0.4866,0.4884,31604913
2024-06-21T06:00:00+02:00,0.4885,0.4934,0.4875,0.4906,55845607
2024-06-21T10:00:00+02:00,0.4905,0.4959,0.4844,0.494,98864684
2024-06-21T14:00:00+02:00,0.494,0.4945,0.4828,0.4857,92045788
2024-06-21T18:00:00+02:00,0.4858,0.4864,0.4797,0.4861,33218403
2024-06-21T22:00:00+02:00,0.4861,0.4928,0.4841,0.4889,24519014
2024-06-22T02:00:00+02:00,0.489,0.4897,0.4871,0.4874,15452967
2024-06-22T06:00:00+02:00,0.4873,0.4887,0.4863,0.4867,16233188
2024-06-22T10:00:00+02:00,0.4866,0.4867,0.4841,0.4857,15289808
2024-06-22T14:00:00+02:00,0.4857,0.4879,0.485,0.486,15303793
2024-06-22T18:00:00+02:00,0.4859,0.4879,0.4856,0.4879,9292576
2024-06-22T22:00:00+02:00,0.4878,0.488,0.4865,0.4866,7595945
2024-06-23T02:00:00+02:00,0.4867,0.489,0.4861,0.4887,10106517
2024-06-23T06:00:00+02:00,0.4887,0.4892,0.4873,0.4877,8913322
2024-06-23T10:00:00+02:00,0.4877,0.4887,0.4844,0.4861,13915782
2024-06-23T14:00:00+02:00,0.4861,0.4862,0.4811,0.4827,18029524
2024-06-23T18:00:00+02:00,0.4827,0.483,0.4801,0.4822,16039710
2024-06-23T22:00:00+02:00,0.4823,0.4826,0.4742,0.4797,28094925
2024-06-24T02:00:00+02:00,0.4798,0.4805,0.4722,0.4759,54252177
