time,AAVE4HR,ADA4HR,ATOM4HR,AVAX4HR,BCN4HR,BTC4HR,DOGE4HR,ETH4HR,FIL4HR,INJ4HR,LINK4HR,MATIC4HR,SOL4HR,UNI4HR,XRP4HR
2024-07-15 04:00:00+00:00,105.598554,0.438,6.3280841,27.14,559.5,62942.34,0.1183,3358.53,4.327,22.275,13.8387524,0.542,153.4,8.4477816,0.5306
2024-07-15 08:00:00+00:00,104.839751,0.432,6.3019253,26.78,562.7,62532.83,0.1169,3342.81,4.246,21.992,13.7762871,0.532,151.74,8.4248829,0.5365
2024-07-15 12:00:00+00:00,102.187818,0.435,6.2956351,26.94,574.3,63103.54,0.1191,3370.31,4.238,21.998,13.8899738,0.535,153.1,8.3795267,0.5238
2024-07-15 16:00:00+00:00,101.981634,0.436,6.3651263,27.08,577.9,63437.51,0.1212,3411.02,4.325,22.5,14.1390841,0.538,155.6,8.4276049,0.5353
2024-07-15 20:00:00+00:00,104.057703,0.446,6.505415,27.83,585.7,64776.75,0.1251,3486.52,4.443,23.068,14.4099832,0.549,159.5,8.6045224,0.5372
2024-07-16 00:00:00+00:00,103.83661,0.452,6.6108791,28.07,580.3,64770.56,0.1257,3472.67,4.462,23.904,14.437841,0.551,158.01,8.5987202,0.5655
2024-07-16 04:00:00+00:00,102.088291,0.431,6.3310608,26.87,562.8,62902.05,0.1209,3381.15,4.299,23.0,13.9716495,0.527,154.61,8.0329827,0.5404
2024-07-16 08:00:00+00:00,105.187467,0.432,6.3533087,27.27,571.3,63832.46,0.1225,3421.62,4.319,23.306,14.0972894,0.53,157.44,8.0951935,0.5465
2024-07-16 12:00:00+00:00,104.408968,0.447,6.5662529,28.47,577.5,64905.6,0.1261,3479.65,4.447,23.77,14.4536295,0.547,161.13,8.3501202,0.5846
2024-07-16 16:00:00+00:00,102.675687,0.442,6.5298643,28.24,578.9,65226.47,0.1259,3478.19,4.566,24.483,14.3641591,0.549,162.12,8.214917,0.5835
2024-07-16 20:00:00+00:00,100.59753,0.439,6.6139004,28.02,576.8,65126.61,0.1252,3447.66,4.535,24.933,14.2203887,0.543,160.79,8.1726115,0.5793
2024-07-17 00:00:00+00:00,101.863431,0.442,6.6944474,28.81,580.1,65807.61,0.1256,3484.66,4.53,25.832,14.3263537,0.551,161.05,8.2561756,0.5858
2024-07-17 04:00:00+00:00,101.895581,0.449,6.7734434,28.68,580.3,65346.6,0.1254,3489.27,4.59,25.679,14.3866657,0.554,160.74,8.3017386,0.6092
2024-07-17 08:00:00+00:00,99.25663,0.445,6.6249073,28.14,575.7,64786.38,0.1237,3451.0,4.563,25.576,14.3322294,0.549,160.88,8.1036115,0.6139
2024-07-17 12:00:00+00:00,98.531414,0.446,6.5837875,28.04,573.3,64839.52,0.1231,3439.85,4.707,25.832,14.1416224,0.553,158.23,8.0846289,0.6023
2024-07-17 16:00:00+00:00,98.910194,0.443,6.5814255,27.9,572.4,64607.77,0.1228,3417.6,4.62,26.59,13.9805133,0.553,156.89,8.0490358,0.6138
2024-07-17 20:00:00+00:00,98.30084,0.437,6.4862949,27.25,569.1,64156.91,0.1218,3389.66,4.556,25.685,13.7484429,0.54,155.6,7.9234167,0.626
2024-07-18 00:00:00+00:00,99.914245,0.441,6.5508752,27.76,574.2,64937.41,0.1233,3431.47,4.604,26.024,13.8841873,0.549,158.99,8.0126034,0.6074
2024-07-18 04:00:00+00:00,98.680874,0.443,6.4925093,27.57,572.9,64736.85,0.1217,3434.74,4.525,25.901,13.8412059,0.546,158.74,7.9439084,0.58
2024-07-18 08:00:00+00:00,100.086599,0.44,6.4662962,27.54,574.2,64837.64,0.1216,3459.45,4.527,26.03,13.8092987,0.532,159.45,8.005269,0.579
2024-07-18 12:00:00+00:00,96.372613,0.426,6.3210778,26.9,565.6,63585.8,0.1176,3391.12,4.396,25.291,13.5379063,0.517,156.42,7.691192,0.5629
2024-07-18 16:00:00+00:00,97.946931,0.422,6.2775544,26.87,567.7,63536.17,0.1178,3405.0,4.337,25.658,13.5590092,0.514,156.95,7.751701,0.5694
2024-07-18 20:00:00+00:00,98.548912,0.423,6.3027875,27.14,571.9,64027.6,0.119,3426.61,4.387,27.005,13.5976391,0.517,159.25,7.838492,0.5697
2024-07-19 00:00:00+00:00,98.278928,0.427,6.3388609,27.28,572.9,64337.74,0.1209,3430.71,4.465,26.686,13.6652553,0.52,161.89,7.8954751,0.556
2024-07-19 04:00:00+00:00,96.723555,0.423,6.2925218,26.9,568.8,63745.96,0.1192,3392.77,4.369,26.176,13.5705015,0.513,161.48,7.739738,0.5494
2024-07-19 08:00:00+00:00,96.690457,0.421,6.2393586,26.84,573.4,64160.48,0.1191,3404.68,4.346,25.98,13.4263804,0.513,162.64,7.7926545,0.5533
2024-07-19 12:00:00+00:00,99.645292,0.432,6.4074103,27.62,591.6,65879.54,0.1231,3466.46,4.48,26.557,13.88821,0.522,168.88,7.9351793,0.5628
2024-07-19 16:00:00+00:00,100.854405,0.44,6.5219182,28.33,596.3,67147.61,0.1252,3527.21,4.679,26.782,14.1397876,0.533,170.63,7.9204326,0.5801
2024-07-19 20:00:00+00:00,100.810399,0.439,6.506837,28.16,594.0,66652.18,0.1255,3507.2,4.653,26.451,14.0928755,0.533,169.29,7.9950674,0.5733
2024-07-20 00:00:00+00:00,100.029225,0.439,6.5085682,28.26,591.5,66562.37,0.1261,3498.57,4.72,26.72,14.042271,0.534,169.75,7.9612875,0.5817
2024-07-20 04:00:00+00:00,99.750155,0.439,6.5751883,28.18,590.8,66495.41,0.1273,3491.59,4.694,27.38,14.1226158,0.536,168.75,7.9757233,0.5952
2024-07-20 08:00:00+00:00,99.519982,0.433,6.4825252,28.01,591.1,66443.68,0.1258,3488.53,4.611,26.471,13.9155193,0.531,168.2,7.8994363,0.5913
2024-07-20 12:00:00+00:00,100.548433,0.434,6.5038852,28.41,595.4,66776.88,0.1344,3506.02,4.693,27.243,14.1002805,0.537,169.4,7.9944491,0.5915
2024-07-20 16:00:00+00:00,99.57305,0.436,6.5262085,28.66,596.0,67188.0,0.1339,3516.75,4.726,27.456,14.2273597,0.539,172.57,7.9861954,0.5916
2024-07-20 20:00:00+00:00,99.024263,0.437,6.5298561,29.11,593.6,67087.33,0.1337,3520.21,4.711,27.638,14.2625221,0.542,173.73,8.0159782,0.5937
2024-07-21 00:00:00+00:00,99.567385,0.437,6.5061559,29.2,596.1,67125.97,0.1318,3512.59,4.714,27.173,14.1826203,0.539,173.27,8.0793884,0.5937
2024-07-21 04:00:00+00:00,97.880866,0.43,6.4228007,28.76,592.7,66586.08,0.1315,3487.79,4.636,27.066,13.9818687,0.533,171.42,7.9019248,0.5892
2024-07-21 08:00:00+00:00,97.691666,0.432,6.4217088,29.3,594.6,66828.06,0.1311,3501.51,4.643,27.37,14.21213,0.534,172.96,7.9263453,0.5822
2024-07-21 12:00:00+00:00,97.470624,0.431,6.4467212,31.0,599.3,67108.22,0.1317,3502.89,4.643,27.455,14.4727071,0.536,175.51,7.979414,0.588
2024-07-21 16:00:00+00:00,97.596416,0.428,6.4060143,31.78,598.2,67362.24,0.1343,3494.59,4.647,27.491,14.5478472,0.537,178.15,7.9407659,0.5912
2024-07-21 20:00:00+00:00,98.323275,0.447,6.5443258,32.65,602.6,67654.09,0.1405,3537.46,4.777,27.452,14.8303136,0.549,184.51,8.1271336,0.5984
2024-07-22 00:00:00+00:00,96.975437,0.439,6.4989841,32.23,601.1,67810.09,0.1413,3519.09,4.712,26.947,14.4854675,0.545,181.02,8.003941,0.5946
2024-07-22 04:00:00+00:00,94.579877,0.435,6.3778634,31.93,594.5,67244.21,0.1372,3481.59,4.657,26.851,14.2896433,0.535,178.53,7.931963,0.598
2024-07-22 08:00:00+00:00,95.816017,0.438,6.4176481,32.24,600.4,67595.23,0.1392,3502.01,4.662,26.789,14.3687762,0.542,180.7,7.9955386,0.6111
2024-07-22 12:00:00+00:00,95.009649,0.429,6.3473961,31.93,592.4,67106.35,0.1402,3458.19,4.652,26.12,14.1575113,0.537,179.95,7.925791,0.6104
2024-07-22 16:00:00+00:00,95.461437,0.434,6.3970058,32.33,596.0,68262.29,0.142,3501.63,4.709,26.539,14.2208785,0.541,182.99,8.0082047,0.6185
2024-07-22 20:00:00+00:00,94.103835,0.427,6.273589,31.87,587.8,67597.72,0.1379,3443.04,4.509,25.828,13.9533273,0.531,179.04,7.8100192,0.608
2024-07-23 00:00:00+00:00,94.883963,0.426,6.2940672,32.11,590.8,67499.72,0.1377,3476.5,4.526,25.839,14.0359674,0.535,179.21,7.9141075,0.6143
2024-07-23 04:00:00+00:00,93.276226,0.42,6.1511632,30.4,580.1,66587.62,0.1345,3455.87,4.451,25.232,13.8794233,0.527,176.09,7.7017984,0.6
2024-07-23 08:00:00+00:00,95.302192,0.426,6.2784038,30.6,585.0,66714.62,0.1348,3518.17,4.532,24.948,13.9950068,0.551,175.74,7.9351755,0.5964
2024-07-23 12:00:00+00:00,95.075716,0.416,6.2417803,30.32,585.7,66504.9,0.1319,3457.24,4.494,24.55,13.8182925,0.537,176.63,7.828418,0.6003
