time,open,high,low,close,Volume
2024-07-11T02:00:00+02:00,0.513,0.518,0.505,0.509,350084.8
2024-07-11T06:00:00+02:00,0.509,0.517,0.508,0.516,204368.3
2024-07-11T10:00:00+02:00,0.516,0.517,0.512,0.515,321895.6
2024-07-11T14:00:00+02:00,0.514,0.525,0.503,0.503,324121.8
2024-07-11T18:00:00+02:00,0.504,0.511,0.502,0.504,365803.5
2024-07-11T22:00:00+02:00,0.504,0.505,0.497,0.499,500938.1
2024-07-12T02:00:00+02:00,0.498,0.504,0.492,0.499,421200.8
2024-07-12T06:00:00+02:00,0.499,0.501,0.495,0.497,253172.7
2024-07-12T10:00:00+02:00,0.498,0.499,0.493,0.497,213916.8
2024-07-12T14:00:00+02:00,0.497,0.506,0.496,0.505,230733.5
2024-07-12T18:00:00+02:00,0.504,0.511,0.503,0.504,158011.8
2024-07-12T22:00:00+02:00,0.505,0.508,0.501,0.508,517460.9
2024-07-13T02:00:00+02:00,0.508,0.51,0.505,0.509,105087.7
2024-07-13T06:00:00+02:00,0.509,0.518,0.507,0.517,572721.8
2024-07-13T10:00:00+02:00,0.517,0.521,0.514,0.515,546242
2024-07-13T14:00:00+02:00,0.514,0.522,0.512,0.521,514523.3
2024-07-13T18:00:00+02:00,0.521,0.536,0.52,0.535,1052669.3
2024-07-13T22:00:00+02:00,0.534,0.538,0.526,0.532,337965.6
2024-07-14T02:00:00+02:00,0.532,0.535,0.526,0.528,331178.7
2024-07-14T06:00:00+02:00,0.527,0.533,0.527,0.53,527590.3
2024-07-14T10:00:00+02:00,0.53,0.532,0.523,0.524,417377.8
2024-07-14T14:00:00+02:00,0.524,0.524,0.518,0.523,699577.1
2024-07-14T18:00:00+02:00,0.522,0.524,0.521,0.524,237266.1
2024-07-14T22:00:00+02:00,0.523,0.536,0.522,0.531,403259.3
2024-07-15T02:00:00+02:00,0.532,0.54,0.529,0.539,489001.2
2024-07-15T06:00:00+02:00,0.538,0.545,0.535,0.542,422273.8
2024-07-15T10:00:00+02:00,0.542,0.543,0.531,0.532,419243.8
2024-07-15T14:00:00+02:00,0.532,0.539,0.531,0.535,334815.5
2024-07-15T18:00:00+02:00,0.534,0.54,0.533,0.538,313928.3
2024-07-15T22:00:00+02:00,0.537,0.55,0.537,0.549,410258
2024-07-16T02:00:00+02:00,0.549,0.552,0.544,0.551,278165.7
2024-07-16T06:00:00+02:00,0.551,0.552,0.526,0.527,556152.6
2024-07-16T10:00:00+02:00,0.528,0.532,0.521,0.53,322676
2024-07-16T14:00:00+02:00,0.53,0.548,0.527,0.547,417377.4
2024-07-16T18:00:00+02:00,0.548,0.553,0.542,0.549,407317
2024-07-16T22:00:00+02:00,0.548,0.549,0.539,0.543,124551.1
2024-07-17T02:00:00+02:00,0.543,0.556,0.543,0.551,333830.2
2024-07-17T06:00:00+02:00,0.551,0.558,0.55,0.554,351554.2
2024-07-17T10:00:00+02:00,0.554,0.556,0.547,0.549,838782.6
2024-07-17T14:00:00+02:00,0.549,0.562,0.548,0.553,713979.3
2024-07-17T18:00:00+02:00,0.553,0.558,0.544,0.553,424175.8
2024-07-17T22:00:00+02:00,0.554,0.554,0.54,0.54,501484
2024-07-18T02:00:00+02:00,0.54,0.551,0.54,0.549,297275.5
2024-07-18T06:00:00+02:00,0.55,0.552,0.543,0.546,340057.1
2024-07-18T10:00:00+02:00,0.546,0.546,0.527,0.532,1375038.9
2024-07-18T14:00:00+02:00,0.531,0.536,0.515,0.517,701463.6
2024-07-18T18:00:00+02:00,0.516,0.52,0.511,0.514,265155.9
